task,seed,method,normalized_HV,shape_error,force_MAPE
unseen LCE formulation A,10,MOMF,0.8391097531307165,0.0792900039960134,0.1124596371889657
unseen LCE formulation A,11,MOMF,0.8612640335290265,0.06960331790206203,0.12893512918189312
unseen LCE formulation A,12,MOMF,0.8350516990737378,0.09171720463927063,0.11999124638060095
unseen LCE formulation A,13,MOMF,0.8613256880170662,0.078043897726779,0.13178539886424698
unseen LCE formulation A,14,MOMF,0.8738866704714359,0.06962990876279028,0.0947887185754408
unseen LCE formulation A,15,MOMF,0.8365230427319874,0.07174939952533985,0.11715967326988942
unseen LCE formulation A,16,MOMF,0.8682710953180408,0.06735160107118589,0.1208549472271354
unseen LCE formulation A,17,MOMF,0.8454486484435436,0.07642316695776087,0.1137991458802183
unseen LCE formulation A,18,MOMF,0.8502935828629253,0.07531662843805201,0.1297982750219242
unseen LCE formulation A,19,MOMF,0.8421030260023649,0.08020264952611778,0.1190538536688618
unseen LCE formulation A,20,MOMF,0.8659202669173507,0.07320429981518706,0.0993256627210763
unseen LCE formulation A,1,PHSEA,0.84533407175188,0.08453957092822191,0.12817110904047752
unseen LCE formulation A,2,PHSEA,0.8522998759727363,0.08446020529392338,0.12302457538753729
unseen LCE formulation A,3,PHSEA,0.8288567307430398,0.08784325905094818,0.13164276304791048
unseen LCE formulation A,4,PHSEA,0.8327641996103758,0.08107074786656021,0.1372712266245604
unseen LCE formulation A,5,PHSEA,0.8307447403470899,0.08269963984819421,0.13911667125575755
unseen LCE formulation A,6,PHSEA,0.8438507959402407,0.07248388956463464,0.1418077655339622
unseen LCE formulation A,7,PHSEA,0.8253608335610083,0.09737904871946643,0.10345418934815936
unseen LCE formulation A,8,PHSEA,0.8446297739119686,0.07703512248715418,0.121977881661513
unseen LCE formulation A,9,PHSEA,0.8266354780080166,0.0729132488637737,0.14740502288076782
unseen LCE formulation A,10,PHSEA,0.8345557149676511,0.08722366156734908,0.1277481698739833
unseen LCE formulation A,11,PHSEA,0.8300755293263391,0.07735575335771407,0.12165778564523651
unseen LCE formulation A,12,PHSEA,0.8310977055163182,0.0865182708280668,0.12650622648401363
unseen LCE formulation A,13,PHSEA,0.8372646721459782,0.09181022753698079,0.12648866762371067
unseen LCE formulation A,14,PHSEA,0.8344020402228646,0.06941844029718805,0.13586113927975094
unseen LCE formulation A,15,PHSEA,0.820044921827858,0.09372663572974078,0.14037319765890252
unseen LCE formulation A,16,PHSEA,0.8198552678892654,0.091507011148974,0.1301323365164092
unseen LCE formulation A,17,PHSEA,0.8374367998449461,0.0954050160139933,0.13467665642531715
unseen LCE formulation A,18,PHSEA,0.8245555305444486,0.07251505336329303,0.1422441861554267
unseen LCE formulation A,19,PHSEA,0.8370875793371507,0.09339641432784562,0.1358763501013808
unseen LCE formulation A,20,PHSEA,0.8169923844932598,0.07750839503115294,0.1282710716351833
unseen LCE formulation A,1,MSAEA-DM,0.8501190638659655,0.09536580507041562,0.16352393904932988
