paired_cases,variant,seed,shape_MAE,force_MAPE
10,physics-informed residual PIRN,23,0.035458708493796266,0.08676785467084457
10,physics-informed residual PIRN,24,0.034717347618295646,0.09582022338393315
10,physics-informed residual PIRN,25,0.038603972848314204,0.08888934771998153
10,physics-informed residual PIRN,26,0.040056360565433456,0.09023068867877831
10,physics-informed residual PIRN,27,0.03669776657421471,0.0825580936947383
10,physics-informed residual PIRN,28,0.03923320475515486,0.08708736991427826
10,physics-informed residual PIRN,29,0.03497100665348641,0.08974251168733509
10,physics-informed residual PIRN,30,0.04382968290219259,0.09130218451282206
10,data-only residual network,1,0.052394421212590254,0.12909235794600302
10,data-only residual network,2,0.057091014204507344,0.14067777618754962
10,data-only residual network,3,0.054782442499187144,0.1161048539276465
10,data-only residual network,4,0.05607186736589622,0.12476800999923453
10,data-only residual network,5,0.05054777221459823,0.11831492275161049
10,data-only residual network,6,0.05218454707736449,0.13382423968182544
10,data-only residual network,7,0.05802007144494048,0.13948019723728108
10,data-only residual network,8,0.051110738948300614,0.12324899917305887
10,data-only residual network,9,0.05426773348713483,0.13649081342758929
10,data-only residual network,10,0.05548742623219841,0.14544002847956453
10,data-only residual network,11,0.052724499099953206,0.134010170336832
10,data-only residual network,12,0.056271047423204025,0.13988722653675603
10,data-only residual network,13,0.056033457552963885,0.14151523269169858
10,data-only residual network,14,0.05412021275467215,0.12058625486189418
10,data-only residual network,15,0.05410106351565851,0.12913305765516822
10,data-only residual network,16,0.04908119350985088,0.1360649425062142
10,data-only residual network,17,0.054015045720592035,0.1295946052700149
10,data-only residual network,18,0.05184285647111812,0.1218771865601209
10,data-only residual network,19,0.05971790508528656,0.13166321768684577
10,data-only residual network,20,0.059370865531289826,0.12164440294386067
10,data-only residual network,21,0.05172471057026567,0.13026756469757342
10,data-only residual network,22,0.05650699949487047,0.1381661508893129
10,data-only residual network,23,0.0570509056008198,0.12614902681608775
10,data-only residual network,24,0.05708741425080466,0.12737940692994312
10,data-only residual network,25,0.05620987130987784,0.12942891596298892
10,data-only residual network,26,0.04775650611673792,0.1325375819339827
10,data-only residual network,27,0.052929795766228825,0.13459706030520008
10,data-only residual network,28,0.060668162461788966,0.14054123736984417
10,data-only residual network,29,0.051813518400658606,0.13351888658221595
10,data-only residual network,30,0.056776220620864265,0.1352217186170642
20,physics-informed residual PIRN,1,0.03339017748559672,0.07294887204263044
20,physics-informed residual PIRN,2,0.03097886127891005,0.0725755336670132
20,physics-informed residual PIRN,3,0.030087319692931703,0.06211173666499199
20,physics-informed residual PIRN,4,0.034941765406375634,0.09058274013543834
20,physics-informed residual PIRN,5,0.033268881371310274,0.08012138212683896
20,physics-informed residual PIRN,6,0.03200199413613554,0.07643624871813476
20,physics-informed residual PIRN,7,0.025783762846441093,0.08041054133675621
20,physics-informed residual PIRN,8,0.026802924562119954,0.07369702938108144
20,physics-informed residual PIRN,9,0.034027858863921095,0.07918002608146929
20,physics-informed residual PIRN,10,0.03161357955903435,0.07652314842336522
20,physics-informed residual PIRN,11,0.0328376878193246,0.0718235435735451
20,physics-informed residual PIRN,12,0.03631283559902598,0.06372004732642002
20,physics-informed residual PIRN,13,0.027724369054599417,0.05775322481281718
20,physics-informed residual PIRN,14,0.029938921365148207,0.06656500324004266
20,physics-informed residual PIRN,15,0.03197414832460667,0.08353228926089708
20,physics-informed residual PIRN,16,0.035707419753275245,0.07144763570480159
20,physics-informed residual PIRN,17,0.03023788508976911,0.08440882503823012
20,physics-informed residual PIRN,18,0.032102941095859865,0.07116831128040679
20,physics-informed residual PIRN,19,0.03199147675073593,0.08368123278174458
20,physics-informed residual PIRN,20,0.027222558232015758,0.08200926658537369
20,physics-informed residual PIRN,21,0.030080485586978255,0.07151826099455273
20,physics-informed residual PIRN,22,0.027902091158763992,0.07651468920773413
20,physics-informed residual PIRN,23,0.028310104757733,0.07883371941411306
20,physics-informed residual PIRN,24,0.028912130881691103,0.06447663986243893
20,physics-informed residual PIRN,25,0.024958100076316693,0.06964321956103878
20,physics-informed residual PIRN,26,0.027708787992912962,0.059574267999743774
20,physics-informed residual PIRN,27,0.03455790200473357,0.07020720162775564
