method,seed,HF_calls,normalized_HV,IGD_plus
Frank-WT MF-PIRN,18,20,0.7102647922536038,0.04691054894390317
Frank-WT MF-PIRN,18,30,0.769962318274579,0.03365899052406766
Frank-WT MF-PIRN,18,40,0.8056782673523104,0.0255207444398056
Frank-WT MF-PIRN,18,50,0.8331515148698723,0.01964505715314732
Frank-WT MF-PIRN,18,60,0.8587714672670194,0.014372263157980967
Frank-WT MF-PIRN,18,70,0.8730509930739839,0.011413490029394534
Frank-WT MF-PIRN,18,80,0.8868905666736027,0.009697949413560756
Frank-WT MF-PIRN,18,90,0.8977899945732019,0.007830628558055148
Frank-WT MF-PIRN,18,100,0.9059481638480844,0.006477700612113062
Frank-WT MF-PIRN,18,110,0.9094074538106228,0.0064580357904581425
Frank-WT MF-PIRN,18,120,0.9119385402084756,0.005189703132188627
Frank-WT MF-PIRN,18,130,0.916071967097045,0.005118524607907283
Frank-WT MF-PIRN,18,140,0.9208886572829365,0.005027388626735944
Frank-WT MF-PIRN,18,150,0.922347951517325,0.004091025611612367
Frank-WT MF-PIRN,18,160,0.9221554079155067,0.004304470759168519
Frank-WT MF-PIRN,18,170,0.9221945730478923,0.004688846632378757
Frank-WT MF-PIRN,18,180,0.9246335624232754,0.004460925604794792
Frank-WT MF-PIRN,18,190,0.9218509229720413,0.006241084440637633
Frank-WT MF-PIRN,18,200,0.9244444914937955,0.0036918752285363668
Frank-WT MF-PIRN,19,20,0.7101266211169224,0.04675549569791926
Frank-WT MF-PIRN,19,30,0.7720260346615734,0.03427704196608374
Frank-WT MF-PIRN,19,40,0.8076883289387833,0.025210300673236333
Frank-WT MF-PIRN,19,50,0.8442956659733591,0.019331661448570882
Frank-WT MF-PIRN,19,60,0.8640299234625997,0.015770096688246787
Frank-WT MF-PIRN,19,70,0.8792785227364268,0.011946499848290052
Frank-WT MF-PIRN,19,80,0.8916607819242313,0.009656195627034443
Frank-WT MF-PIRN,19,90,0.9039553834780075,0.007693960530022831
Frank-WT MF-PIRN,19,100,0.9123018743087907,0.006535311158394243
Frank-WT MF-PIRN,19,110,0.914723009263218,0.00581275876489546
Frank-WT MF-PIRN,19,120,0.9188728364667346,0.005657721961038605
Frank-WT MF-PIRN,19,130,0.9212252877065293,0.0044833497661356005
Frank-WT MF-PIRN,19,140,0.9260758802383624,0.004953955363976717
Frank-WT MF-PIRN,19,150,0.9268736158323858,0.004326326669944112
Frank-WT MF-PIRN,19,160,0.9267215492398526,0.0043804752916662
Frank-WT MF-PIRN,19,170,0.9316747487737826,0.003984418070294521
Frank-WT MF-PIRN,19,180,0.9285886412147962,0.004712797929924195
Frank-WT MF-PIRN,19,190,0.9303481959761444,0.004481205626321227
Frank-WT MF-PIRN,19,200,0.9303592268390015,0.003626486610044912
Frank-WT MF-PIRN,20,20,0.7117199524900064,0.046925296873396326
Frank-WT MF-PIRN,20,30,0.766873860059275,0.03445502137399865
Frank-WT MF-PIRN,20,40,0.8091947389040074,0.026713713277774817
Frank-WT MF-PIRN,20,50,0.8417658040965936,0.018872805408370212
Frank-WT MF-PIRN,20,60,0.867534843293577,0.014500525490618366
Frank-WT MF-PIRN,20,70,0.8839882047865639,0.011830967131094518
Frank-WT MF-PIRN,20,80,0.895872186980763,0.009314569777074283
